Single Wavelength
Product	Novaspec pro	
Version	4107 V1.0.2	
Serial Number	132402	
Date	26 September 2024	
Time	11:50:23	

Instrument Calibration Pass
26 September 2024 11:24:48

	
Wavelength	516 nm	
Mode	Absorbance	

Time	Sample	Absorbance		Wavelength	496	497	498	499	500	501	502	503	504	505	506	507	508	509	510	511	512	513	514	515	516	517	518	519	520	521	522	523	524	525	526	527	528	529	530	531	532	533	534	535	536	
11:50:23	Reference	
11:51:03	 1	0.743 A		Absorbance  1	0.412	0.427	0.440	0.455	0.469	0.485	0.504	0.525	0.547	0.565	0.589	0.612	0.635	0.659	0.683	0.703	0.717	0.728	0.736	0.741	0.743	0.741	0.733	0.721	0.703	0.683	0.663	0.635	0.605	0.572	0.539	0.505	0.472	0.437	0.408	0.373	0.341	0.314	0.289	0.266	0.245	
11:52:00	 2	0.299 A		Absorbance  2	0.152	0.158	0.163	0.168	0.173	0.179	0.188	0.198	0.208	0.216	0.227	0.237	0.247	0.258	0.270	0.280	0.288	0.293	0.296	0.298	0.299	0.297	0.294	0.289	0.282	0.273	0.264	0.253	0.240	0.226	0.211	0.196	0.181	0.165	0.153	0.138	0.125	0.114	0.103	0.093	0.084	
11:54:33	 3	1.287 A		Absorbance  3	0.654	0.678	0.699	0.729	0.762	0.799	0.839	0.878	0.920	0.954	0.997	1.043	1.090	1.135	1.173	1.206	1.235	1.258	1.273	1.284	1.287	1.282	1.268	1.245	1.212	1.172	1.134	1.081	1.023	0.961	0.894	0.825	0.754	0.687	0.635	0.574	0.519	0.465	0.413	0.365	0.323	
11:55:05	 4	0.505 A		Absorbance  4	0.214	0.224	0.234	0.246	0.259	0.274	0.292	0.311	0.333	0.351	0.373	0.393	0.411	0.430	0.447	0.463	0.477	0.489	0.496	0.502	0.505	0.504	0.498	0.488	0.474	0.456	0.439	0.416	0.389	0.361	0.332	0.302	0.272	0.242	0.219	0.191	0.165	0.140	0.117	0.096	0.078	
11:56:24	 5	0.375 A		Absorbance  5	0.213	0.219	0.224	0.230	0.237	0.245	0.255	0.266	0.277	0.285	0.298	0.313	0.326	0.338	0.346	0.354	0.362	0.368	0.372	0.374	0.375	0.374	0.371	0.365	0.356	0.346	0.336	0.323	0.308	0.292	0.275	0.258	0.240	0.223	0.210	0.195	0.180	0.166	0.153	0.141	0.131	
11:56:40	 6	0.044 A		Absorbance  6	-0.030	-0.027	-0.025	-0.023	-0.019	-0.013	-0.008	-0.004	0.000	0.004	0.010	0.015	0.020	0.025	0.029	0.033	0.037	0.040	0.041	0.043	0.044	0.044	0.043	0.041	0.038	0.034	0.030	0.025	0.019	0.012	0.005	-0.001	-0.009	-0.016	-0.022	-0.029	-0.035	-0.041	-0.046	-0.051	-0.056	
11:57:33	 7	0.313 A		Absorbance  7	0.262	0.264	0.265	0.266	0.267	0.269	0.271	0.275	0.278	0.282	0.286	0.292	0.298	0.303	0.306	0.308	0.310	0.311	0.312	0.313	0.313	0.313	0.311	0.309	0.306	0.302	0.299	0.294	0.289	0.284	0.278	0.272	0.266	0.260	0.256	0.250	0.245	0.241	0.237	0.233	0.229	
11:57:49	 8	0.061 A		Absorbance  8	0.037	0.038	0.038	0.039	0.040	0.041	0.042	0.043	0.045	0.047	0.049	0.051	0.053	0.054	0.055	0.057	0.058	0.059	0.059	0.060	0.061	0.061	0.061	0.060	0.059	0.057	0.056	0.054	0.052	0.050	0.048	0.046	0.044	0.041	0.039	0.036	0.035	0.033	0.031	0.030	0.028	
11:58:15	 9	0.058 A		Absorbance  9	0.034	0.035	0.036	0.036	0.037	0.038	0.040	0.041	0.043	0.044	0.047	0.049	0.050	0.052	0.054	0.055	0.056	0.056	0.057	0.058	0.058	0.059	0.058	0.057	0.056	0.055	0.053	0.052	0.049	0.047	0.045	0.043	0.041	0.038	0.036	0.034	0.032	0.030	0.028	0.027	0.025	
11:58:37	 10	0.100 A		Absorbance  10	0.025	0.028	0.030	0.033	0.036	0.040	0.044	0.049	0.054	0.058	0.064	0.069	0.074	0.080	0.085	0.089	0.092	0.095	0.097	0.099	0.100	0.100	0.099	0.096	0.092	0.088	0.084	0.078	0.071	0.064	0.057	0.049	0.041	0.033	0.027	0.020	0.013	0.007	0.002	-0.004	-0.008	
